Country,Year Enacted,Scope,Length (in Words),Executive Power,Legislative Power,Judicial Independence,Number of Rights,Preamble,nivel_poder_ejecutivo
Afghanistan,2004,0.67,"10,227",6,0.38,2,37,in the name of allah the most beneficent the most merciful praise be to allah the cherisher and sustainer of worlds and praise and peace be upon mohammad his last messenger and his disciples and followers we the people of afghanistan believing firmly in almighty god relying on his divine will and adhering to the holy religion of islam realizing the previous injustices miseries and innumerable disasters which have befallen our country appreciating the sacrifices historical struggles jihad and just resistance of all the peoples of afghanistan admiring the supreme position of the martyrs of the countrys freedom comprehending that a united indivisible afghanistan belongs to all its tribes and peoples observing the united nations charter as well as the universal declaration of human rights and in order to strengthen national unity safeguard independence national sovereignty and territorial integrity of the country establish an order based on the peoples will and democracy form a civil society void of oppression atrocity discrimination as well as violence based on rule of law social justice protecting integrity and human rights and attaining peoples freedoms and fundamental rights strengthen political social economic as well as defense institutions attain a prosperous life and sound living environment for all inhabitants of this land and eventually regain afghanistans appropriate place in the international family have herein approved this constitution in accordance with the historical cultural and social realities as well as requirements of time through our elected representatives in the loya jirga dated january held in the city of kabul,1
Albania,1998,0.61,"13,826",5,0.43,5,77,we the people of albania proud and aware of our history with responsibility for the future and with faith in god andor other universal values with determination to build a state of law social and democratic to guarantee the fundamental human rights and freedoms with a spirit of religious coexistence and tolerance with a pledge to protect human dignity and personhood as well as for the prosperity of the whole nation for peace wellbeing culture and social solidarity with the centuriesold aspiration of the albanian people for national identity and unity with a deep conviction that justice peace harmony and cooperation between nations are among the highest values of humanity we establish this constitution,1
Algeria,1996,0.61,"10,038",7,0.29,1,36,the algerian people are a free people and they are resolved to remain so stretching back over thousands of years their history is marked by a progression of exertion and struggle that has turned algeria into an everlasting seedbed of freedom and a land of glory and dignity ever since the numidian era and the islamic conquest and up until the wars of liberation against colonialism algeria has always known at the epic moments witnessed in the mediterranean basin how to find amongst her children pioneers of freedom unity and progress as well as builders of prosperous democratic states throughout the epochs of grandeur and peace the st november was a turning point in determining her future and a tremendous crowning of a ferocious resistance during which she withstood the diverse onslaughts on her culture and values as well as the fundamental constituents of her identity namely islam arabism and amazighism that the state has been relentlessly endeavouring to promote and develop each one of them the roots of her current exertion in the various domains stretch back to the glorious past of her nation the algerian people rallied round the national movement and subsequently the national liberation front and made the ultimate sacrifice in order to assume their collective destiny under the banner of their recovered freedom and national cultural identity and to build their authentic peoples constitutional institutions under the leadership of the national liberation front and the national liberation army the algerian people crowned what their preeminent children made in terms of ultimate sacrifices during the peoples war of liberation with independence and built a modern and fully sovereign state the algerian people were determined to achieve a host of momentous victories marked by the reclaiming of national riches and the making of a state devoted exclusively to serving the masses thus strengthening the legitimacy of the state that exercises its powers in the service of national independence and free of any foreign pressure the algerian peoples resistance to violent attempts that threaten the unity and stability of the state has strengthened their adherence to the values of tolerance and peace they decided thanks to their unwavering belief and adherence to their unity and in full sovereignty to implement the peace and national reconciliation policy which has yielded fruit that they are determined to preserve the algerian people shall be determined to keep algeria immune from fitna violence and all forms of extremism including hate speech and all forms of discrimination by establishing their spiritual and civilisational values which call for dialogue reconciliation and fraternity within the framework of respect for the constitution and the laws of the republic the algerian people express their eagerness to translate their aspirations in this constitution to profound social transformations to build a new algeria which have been expressed peacefully since the launch of the popular movement on february in full unity with its peoples national army the algerian people have always been struggling for freedom and democracy and they are resolved to uphold their national sovereignty and independence with this constitution they are determined to establish a host of institutions based on the participation of every single algerian man and woman in conducting public affairs and the capacity to achieve social justice equality and freedom for everyone within the framework of a democratic and republican state the constitution aspires to be the appropriate framework for strengthening national ties and guaranteeing democratic freedoms for citizens algeria expresses its commitment to work to prevent and combat corruption as enshrined in the african union convention on preventing and combating corruption of july the united nations convention against corruption of october and the arab convention to fight corruption of december by approving this constitution which is the manifestation of their proper genius the reflection of their aspirations the fruit of their determination and the outcome of the profound social mutations they have occasioned the algerian people shall substantiate with full appreciation and resoluteness more than ever before the ascendancy of the law the constitution stands above all it shall be the fundamental law safeguarding the individual and collective rights and freedoms it shall protect the principle of the peoples freedom of choice lend legitimacy to the exercise of powers and consecrate the democratic alternation of power through free and fair elections the constitution shall ensure the separation and balance of powers the independence of the judiciary legal protections oversight of the work of public authorities and legal security the algerian people express their complete commitment to human rights as specified in the universal declaration of human rights of december the international covenant on economic social and cultural rights and the international covenant on civil and political rights both issued on december the african charter on human and peoples rights of june and the arab charter on human rights of may the algerian people shall remain committed to their choices in order to restrain class differences and abolish all aspects of regional disparities they shall work towards building a productive and competitive economy within the framework of sustainable development and environmental protection the people remain concerned with environmental degradation and the negative effects of climate change and they are eager to ensure protection of the natural environment and the rational use of natural resources in order to preserve them for future generations in recognition of the enormous energy they represent the participation of the youth of algeria with their aspirations and determination to rise to the political economic social and cultural challengesis necessary to build all this and to protect the interests of future generations and guarantee a quality education for them by the family and the school the peoples national army successor of the national liberation army shall assume its constitutional duties with utmost commitment and valiant preparedness to sacrifice whenever national duty demands the algerian people are proud of their national army and grateful for all the efforts it has exhausted to protect the country from any foreign threat and for its quintessential role in protecting the citizens institutions and properties from the plague of terrorism those efforts have contributed to strengthening the nationalistic bond and consecrating the spirit of solidarity between the people and their army the state shall attend to the professionalism of the peoples national army and to its modernisation in the manner that enables it to acquire the requisite capabilities to preserve national independence defend algerias national sovereignty her unity and territorial integrity and protect her land sea and air boundaries armed with their deeplyingrained spiritual values and loyal to their traditions of solidarity and justice the people are confident in their ability to contribute effectively to the cultural social and economic progress in the world of today and tomorrow algeria land of islam an integral part of the great arab maghreb and an arab mediterranean and african country is proud of her radiant revolution of november and is honoured by the respect she has gained and known how to preserve owing to its commitment to all the just causes of the world committed to peace human rights and growth algerias foreign policy is directed toward strengthening its presence and influence on the international scene through partnerships based upon mutual interests that are totally concordant with algerias political economic social and cultural national choices with full respect for the goals and organizing principles of the un the african union and the arab league the pride of the algerian people their sacrifices sense of responsibility and inveterate adherence to freedom and social justice reflect the optimum guarantees of their respect for the principles of this constitution which they shall adopt and bequeath to the future generations the successors of the pioneers of freedom and the founders of the free society this shall be part and parcel of this constitution,1
Andorra,1993,0.51,"8,740",6,0.19,3,51,the andorran people with full liberty and independence and in the exercise of their own sovereignty conscious of the need to conform the institutional structure of andorra to the new circumstances brought about by the evolution of the geographical historical and sociocultural environment in which it is situated as well as of the need to regulate the relations which the institutions dating back to the pareatges shall have within this new legal framework resolved of the need to be endowed with all the mechanisms leading to juridical security in the exercise of the fundamental rights of the individual which although always present and respected in the nature of andorran society have not received the protection of any kind of general laws eager to use every endeavour to promote values such as liberty justice democracy and social progress and to keep and strengthen the harmonious relations of andorra with the rest of the world and especially with the neighbouring countries on the basis of mutual respect coexistence and peace willing to bring their collaboration and effort to all the common causes of mankind and especially to those of preserving the integrity of the earth and guaranteeing an environment fit for life for the coming generations desiring that the motto quotvirtus unita fortiorquot which has presided over the peaceful journey of andorra over its more than seven hundred years of history may continue to be a completely valid principle and may always guide the conduct of andorrans approve the present constitution in the exercise of their sovereignty,1
Angola,2010,0.8,"27,181",7,0.19,2,80,we the people of angola through its lawful representatives the legislators of the nation freely elected in the parliamentary elections of september aware that these elections are part of the long tradition of the struggle of the angolan people to achieve their citizenship and independence proclaimed on november the date on which the first constitutional law in the history of angola came into force and courageously preserved through collective sacrifice in the defence of national sovereignty and the territorial integrity of the country having received by the said popular vote and under the provision contained in article of the constitutional law of the noble and irrefusable mandate to proceed with the drawing up and approval of the constitution of the republic of angola conscious of the immense importance and great value invested in the creation and adoption of the first and fundamental law of the state and of angolan society noting that the constitution of the republic of angola is linked to and a direct part of the long and enduring struggle of the angolan people first to resist colonial occupation then to achieve the independence and the dignity of a sovereign state and later to build a democratic state based on the rule of law and a just society in angola invoking the memory of our ancestors and calling upon the wisdom of the lessons of our shared history our centuriesold roots and the cultures that have enriched our unity inspired by the best lessons in african tradition the essence of angolan culture and identity armed with a culture of tolerance and profoundly committed to reconciliation equality justice and development having decided to build a society based on equal opportunities commitment fraternity and unity in diversity determined to build together a just and progressive society that respects life equality diversity and human dignity remembering that the present constitution represents the culmination of the constitutional transition initiated in following the passing of law no by the assembly of the people enshrining multiparty democracy guarantees of the fundamental rights and freedoms of citizens and a market economy changes extended later by constitutional revision law no reaffirming our commitment to the values and fundamental principles of the independence sovereignty and the unity of a democratic state based on the rule of law pluralism of political expression and organisation the separation and balance between the powers of bodies that exercise sovereign power the market economy and respect and guarantees for fundamental human rights and freedoms which constitute the essential pillars supporting and structuring this constitution aware that a constitution such as this due to its shared values principles and norms is an important factor in national unity and a powerful driving force for the development of the state and society solemnly striving to strictly fulfil and respect this constitution and hoping that this may serve as a model for the behaviour of citizens political forces and the whole of angolan society invoking and paying homage to the memory of all our heroes and each and every angola man and woman who lost their lives in the defence of the fatherland faithful to the deepest wishes of the angolan people for stability dignity liberty development and the building of a modern prosperous inclusive democratic and just country committed to providing a legacy for future generations and to the exercise of our sovereignty we hereby pass this constitution as the supreme and fundamental law of the republic of angola,1
Antigua and Barbuda,1981,0.56,"38,464",3,0.14,0,39,whereas the people of antigua and barbudaproclaim that they are a sovereign nation founded upon principles that acknowledge the supremacy of god the dignity and worth of the human person the entitlement of all persons to the fundamental rights and freedoms of the individual the position of the family in a society of free men and women and free institutions respect the principles of social justice and therefore believe that the operation of their economic system should result in the material resources of their community being so distributed as to serve the common good that there should be adequate means of livelihood for all that labour should not be exploited or forced by economic necessity to operate in inhumane conditions but that there should be opportunity for advancement on the basis of recognition of merit ability and integrity assert their conviction that their happiness and prosperity can best be pursued in a democratic society in which all persons may to the extent of their capacity play some part in the national life recognize that the law symbolises the public conscience that every citizen owes to it an undivided allegiance not to be limited by any private views of justice or expediency and that the state is subject to the law desire to establish a framework of supreme law within which to guarantee their inalienable human rights and freedoms among them the rights to liberty property security and legal redress of grievances as well as freedom of speech of the press and of assembly subject only to the public interest now therefore the following provisions shall have effect as the constitution of antigua and barbuda,0
Argentina,1983,0.64,"12,514",3,0.43,6,51,we the representatives of the people of the argentine nation assembled in general constituent congress by the will and election of the provinces which compose it in fulfillment of preexisting pacts with the object of constituting the national union ensuring justice preserving domestic peace providing for the common defense promoting the general welfare and securing the blessings of liberty to ourselves to our posterity and to all men in the world who wish to dwell on argentine soil invoking the protection of god source of all reason and justice do ordain decree and establish this constitution for the argentine nation,0
Armenia,1995,0.66,"13,786",6,0.29,4,82,the armenian people accepting as a basis the fundamental principles of armenian statehood and pannational aspirations enshrined in the declaration on the independence of armenia having fulfilled the sacred behest of its freedomloving ancestors to restore the sovereign state dedicated to the strengthening and prosperity of the fatherland with the aim of ensuring the freedom general wellbeing and civic solidarity of the generations and affirming its commitment to universal values adopts the constitution of the republic of armenia,1
Azerbaijan,1995,0.63,"17,354",6,0.29,3,72,the azerbaijan people continuing the traditions of many centuries of their statehood guided by the principles which are reflected in the constitutional act on the state independence of the republic of azerbaijan wishing to provide welfare for all and everyone and to establish justice freedom security and being aware of their responsibility before past present and future generations exercise their sovereign right by solemnly declaring the following goalsto protect the independence sovereignty and the territorial integrity of the republic of azerbaijanto guarantee the democratic system within the framework of the constitution to achieve the realization of a civil society to establish a lawgoverned secular state which assures the supremacy of the law as an expression of the will of the people to assure to all a decent level of life in accordance with a just economic and social order to live under conditions of friendship peace and safety with other peoples maintaining a commitment to general human values and to implement a mutually beneficial cooperation for these purposes for the sake of the above stated high intentions this constitution shall be adopted through a nationwide referendum,1
Bahamas,1973,0.47,"41,835",3,0.14,2,39,whereas four hundred and eightyone years ago the rediscovery of this family of islands rocks and cays heralded the rebirth of the new world and whereas the people of this family of islands recognizing that the preservation of their freedom will be guaranteed by a national commitment to selfdiscipline industry loyalty unity and an abiding respect for christian values and the rule of law now know ye therefore we the inheritors of and successors to this family of islands recognizing the supremacy of god and believing in the fundamental rights and freedoms of the individual do hereby proclaim in solemn praise the establishment of a free and democratic sovereign nation founded on spiritual values and in which no man woman or child shall ever be slave or bondsman to anyone or their labour exploited or their lives frustrated by deprivation and do hereby provide by these articles for the indivisible unity and creation under god of the commonwealth of the bahamas,0
